TEAM,POS,PLAYER,Snaps,Snap%,TGT,TGT%,ATT,Ru%,INVL,USG,RuYd,Ru%,ReYd,Re%,AirYd,Air%,TD,TD%,DOM,PPR,Tm PPR,PPR%
CLE,TE,David Njoku,17,23%,3,9%,0,0%,18%,5%,0,0%,50,26%,48,15%,1,100%,49%,14.0,59.6,23%
DEN,TE,Noah Fant,43,73%,6,19%,0,0%,14%,10%,0,0%,81,38%,56,19%,1,50%,39%,19.1,65.8,29%
PHI,TE,Dallas Goedert,54,79%,9,21%,0,0%,17%,15%,0,0%,101,37%,57,11%,1,50%,37%,24.1,68.5,35%
BAL,TE,Mark Andrews,42,71%,6,24%,0,0%,14%,11%,0,0%,58,20%,63,25%,2,40%,28%,22.8,85.7,27%
NO,TE,Jared Cook,44,65%,7,23%,0,0%,16%,11%,0,0%,80,40%,66,42%,0,0%,27%,13.0,61.3,21%
DET,TE,T.J. Hockenson,50,64%,5,12%,0,0%,10%,7%,0,0%,56,19%,22,6%,1,50%,27%,16.6,77.2,22%
WAS,TE,Logan Thomas,52,74%,8,27%,0,0%,15%,12%,0,0%,37,21%,72,29%,1,33%,26%,13.7,59.1,23%
TEN,TE,Jonnu Smith,59,73%,7,18%,0,0%,12%,9%,0,0%,36,14%,13,6%,1,50%,25%,13.6,77.5,18%
TB,TE,O.J. Howard,37,53%,6,18%,0,0%,16%,10%,0,0%,36,15%,75,27%,1,33%,23%,13.6,66.6,20%
KC,TE,Travis Kelce,61,88%,6,19%,0,0%,10%,9%,0,0%,50,24%,14,10%,1,25%,22%,17.0,85.7,20%
PHI,TE,Zach Ertz,58,85%,7,17%,0,0%,12%,12%,0,0%,18,7%,57,11%,1,50%,22%,10.8,68.5,16%
LAC,TE,Hunter Henry,59,80%,8,28%,0,0%,14%,12%,0,0%,73,35%,73,22%,0,0%,21%,12.3,57.6,21%
HOU,TE,Jordan Akins,48,81%,2,6%,0,0%,4%,4%,0,0%,39,15%,24,9%,1,33%,20%,11.9,66.4,18%
TEN,TE,MyCole Pruitt,31,38%,1,3%,0,0%,3%,1%,0,0%,1,0%,1,0%,1,50%,17%,7.1,77.5,9%
CHI,TE,Jimmy Graham,52,80%,7,19%,0,0%,13%,11%,0,0%,25,10%,-1,0%,1,33%,16%,11.5,74.5,15%
CIN,TE,C.J. Uzomah,49,72%,5,14%,0,0%,10%,8%,0,0%,45,23%,46,16%,0,0%,14%,8.5,49.9,17%
LV,TE,Darren Waller,56,89%,8,29%,0,0%,14%,14%,0,0%,45,19%,30,17%,0,0%,12%,10.5,99.15,11%
SEA,TE,Greg Olsen,41,66%,4,11%,0,0%,10%,7%,0,0%,24,7%,19,9%,1,20%,12%,12.4,98.7,13%
NYJ,TE,Chris Herndon,40,71%,7,21%,0,0%,18%,15%,0,0%,37,17%,47,18%,0,0%,12%,9.7,59.1,16%
MIA,TE,Mike Gesicki,45,73%,5,17%,0,0%,11%,9%,0,0%,30,16%,56,22%,0,0%,12%,6.0,52,12%
LAR,TE,Tyler Higbee,65,89%,4,14%,0,0%,6%,6%,0,0%,40,15%,30,24%,0,0%,11%,7.0,73.3,10%
NE,TE,Ryan Izzo,63,98%,2,11%,0,0%,3%,3%,0,0%,25,16%,17,17%,0,0%,11%,3.5,50.7,7%
SF,TE,George Kittle,61,98%,5,16%,1,4%,10%,11%,9,7%,44,17%,26,12%,0,0%,10%,9.3,68.3,14%
IND,TE,Jack Doyle,54,73%,4,9%,0,0%,7%,6%,0,0%,49,13%,43,15%,0,0%,9%,7.9,92.8,9%
PIT,TE,Eric Ebron,40,62%,2,6%,0,0%,5%,3%,0,0%,18,8%,39,19%,0,0%,7%,2.8,75.1,4%
MIN,TE,Kyle Rudolph,32,62%,2,8%,0,0%,6%,4%,0,0%,28,11%,22,8%,0,0%,7%,4.8,84.9,6%
ATL,TE,Hayden Hurst,62,78%,5,10%,0,0%,8%,7%,0,0%,38,8%,38,10%,0,0%,6%,6.8,107.1,6%
BUF,TE,Dawson Knox,56,64%,3,7%,0,0%,5%,4%,0,0%,26,8%,18,6%,0,0%,5%,4.6,80.3,6%
ARI,TE,Dan Arnold,45,55%,2,5%,0,0%,4%,3%,0,0%,21,9%,6,3%,0,0%,5%,4.1,69.6,6%
CLE,TE,Austin Hooper,56,77%,2,6%,0,0%,4%,3%,0,0%,15,8%,15,5%,0,0%,5%,3.5,59.6,6%
HOU,TE,Darren Fells,25,42%,2,6%,0,0%,8%,4%,0,0%,19,8%,6,2%,0,0%,4%,3.9,66.4,6%
NYG,TE,Evan Engram,64,94%,7,18%,0,0%,11%,12%,0,0%,9,3%,33,14%,0,0%,4%,2.9,66.6,4%
TB,TE,Rob Gronkowski,54,77%,3,9%,0,0%,6%,5%,0,0%,11,5%,22,8%,0,0%,4%,3.1,66.6,5%
CAR,TE,Ian Thomas,44,66%,2,6%,0,0%,5%,3%,0,0%,16,6%,12,4%,0,0%,4%,3.6,79.2,5%
LAR,TE,Gerald Everett,24,33%,2,7%,0,0%,8%,3%,0,0%,7,3%,16,13%,0,0%,3%,1.7,73.3,2%
NYG,TE,Kaden Smith,29,43%,2,5%,0,0%,7%,3%,0,0%,17,6%,4,2%,0,0%,3%,3.7,66.6,6%
DAL,TE,Blake Jarwin,25,35%,1,3%,0,0%,4%,2%,0,0%,12,5%,12,5%,0,0%,3%,2.2,74.2,3%
IND,TE,Mo Alie-Cox,29,39%,2,4%,0,0%,7%,3%,0,0%,20,6%,6,2%,0,0%,3%,4.0,92.8,4%
LAC,TE,Virgil Green,24,32%,2,7%,0,0%,8%,3%,0,0%,10,5%,11,3%,0,0%,3%,2.0,57.6,3%
DAL,TE,Dalton Schultz,50,69%,4,11%,0,0%,8%,6%,0,0%,11,4%,14,5%,0,0%,3%,2.1,74.2,3%
GB,TE,Josiah Deguara,24,31%,2,5%,0,0%,8%,3%,0,0%,12,3%,24,7%,0,0%,3%,2.2,114.2,2%
MIN,TE,Irv Smith Jr.,31,60%,1,4%,0,0%,3%,2%,0,0%,11,4%,11,4%,0,0%,3%,2.1,84.9,2%
NYG,TE,Levine Toilolo,24,35%,1,3%,0,0%,4%,2%,0,0%,13,5%,5,2%,0,0%,3%,2.3,66.6,3%
SF,TE,Jordan Reed,10,16%,2,6%,0,0%,20%,4%,0,0%,12,5%,5,2%,0,0%,3%,3.2,68.3,5%
JAC,TE,Tyler Eifert,28,56%,1,5%,0,0%,4%,2%,0,0%,8,5%,1,1%,0,0%,2%,1.8,61.5,3%
NO,TE,Josh Hill,36,53%,1,3%,0,0%,3%,2%,0,0%,0,0%,22,14%,0,0%,2%,0.0,61.3,0%
CLE,TE,Harrison Bryant,31,42%,2,6%,0,0%,6%,3%,0,0%,5,3%,9,3%,0,0%,2%,1.5,59.6,3%
CIN,TE,Drew Sample,24,35%,1,3%,0,0%,4%,2%,0,0%,7,4%,0,0%,0,0%,2%,1.7,49.9,3%
SEA,TE,Jacob Hollister,11,18%,1,3%,0,0%,9%,2%,0,0%,9,3%,2,1%,0,0%,2%,1.9,98.7,2%
SEA,TE,Will Dissly,25,40%,2,6%,0,0%,8%,4%,0,0%,8,2%,1,0%,0,0%,1%,2.8,98.7,3%
TEN,TE,Anthony Firkser,32,40%,2,5%,0,0%,6%,3%,0,0%,5,2%,3,1%,0,0%,1%,2.5,77.5,3%
BAL,TE,Nick Boyle,39,66%,3,12%,0,0%,8%,5%,0,0%,3,1%,8,3%,0,0%,1%,2.3,85.7,3%
PIT,TE,Vance McDonald,38,59%,2,6%,0,0%,5%,3%,0,0%,3,1%,3,1%,0,0%,1%,1.3,75.1,2%
CHI,TE,Demetrius Harris,26,40%,1,3%,0,0%,4%,2%,0,0%,0,0%,13,4%,0,0%,1%,0.0,74.5,0%
LV,TE,Jason Witten,28,44%,1,4%,0,0%,4%,2%,0,0%,2,1%,2,1%,0,0%,1%,1.2,99.15,1%
